"id","id","category_id","attribute_key","attribute_value","language","created_at","updated_at","created_by","updated_by"
625,3720,625,name,Kesehatan & Kecantikan > Peralatan Medis > Perlengkapan Medis > Alat Bantu Medis,bahasa_indonesia,"2023-09-05 09:57:33","2023-09-05 09:57:33",Dev,Dev
625,3721,625,name,Kesehatan & Kecantikan > Peralatan Medis > Perlengkapan Medis > Alat Bantu Medis,english,"2023-09-05 09:57:33","2023-09-05 09:57:33",Dev,Dev
625,4300,625,seo_url, ,english,"2023-09-19 17:34:23","2023-09-19 17:34:23",CC Token,CC Token
672,4392,672,blibli_category_ids,AL-1000054,bahasa_indonesia,"2023-09-29 13:52:12","2023-09-29 13:52:12",Dev,Dev
672,3908,672,meta_description,Temukan Produk Kesehatan & Kecantikan > Peralatan Medis > Perlengkapan Medis > Alat Inhalasi & Nebulizer paling lengkap hanya di Halodoc. Konsultasi obat dengan dokter ? Order obat di Halodoc ? #TenangMenjaga,bahasa_indonesia,"2023-09-05 09:57:36","2023-09-05 09:57:36",Dev,Dev
672,3909,672,meta_keywords,Produk Kesehatan & Kecantikan > Peralatan Medis > Perlengkapan Medis > Alat Inhalasi & Nebulizer Obat Perawatan Halodoc,bahasa_indonesia,"2023-09-05 09:57:36","2023-09-05 09:57:36",Dev,Dev
672,3910,672,name,Kesehatan & Kecantikan > Peralatan Medis > Perlengkapan Medis > Alat Inhalasi & Nebulizer,bahasa_indonesia,"2023-09-05 09:57:36","2023-09-05 09:57:36",Dev,Dev
672,3911,672,name,Kesehatan & Kecantikan > Peralatan Medis > Perlengkapan Medis > Alat Inhalasi & Nebulizer,english,"2023-09-05 09:57:36","2023-09-05 09:57:36",Dev,Dev
24,220,24,meta_description,"Temukan berbagai macam jenis obat dan vitamin berdasarkan Kategori Alat Kesehatan. Ketahui juga manfaat, dosis, cara konsumsi, aturan pakai dan efek samping obat dan vitamin di Halodoc.",bahasa_indonesia,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
24,217,24,meta_description, ,english,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
24,216,24,meta_keywords,Kategori Alat Kesehatan,bahasa_indonesia,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
24,219,24,meta_keywords, ,english,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
24,218,24,meta_title,Daftar Informasi obat dan vitamin - Halodoc - Kategori Alat Kesehatan,bahasa_indonesia,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
24,215,24,meta_title, ,english,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
24,53,24,name,Alat Kesehatan,bahasa_indonesia,"2017-10-31 20:52:58","2017-10-31 20:52:58",Dev,Dev
24,24,24,name,Medical Device,english,"2017-10-31 20:52:56","2017-10-31 20:52:56",Dev,Dev
24,366,24,seo_url,https://halodoc-sumba.s3-ap-southeast-1.amazonaws.com/product-category-seo-information/product_category_seo_information_Alat%20Kesehatan.html,bahasa_indonesia,"2019-03-14 17:15:47","2019-03-19 13:04:49",Dev,Control Center
24,328,24,seo_url,https://halodoc-sumba.s3.ap-southeast-1.amazonaws.com/product-category-seo-information/product_category_seo_information_Alat%20Kesehatan.html,english,"2019-03-08 17:21:20","2020-03-20 08:01:10",Dev,Control Center
75,752,75,meta_description,"Temukan berbagai macam jenis obat dan vitamin berdasarkan Kategori Alat Monitoring Diabetes. Ketahui juga manfaat, dosis, cara konsumsi, aturan pakai dan efek samping obat dan vitamin di Halodoc.",bahasa_indonesia,"2021-06-22 11:14:59","2021-06-22 11:14:59",CC Token,CC Token
75,749,75,meta_keywords,Kategori Alat Monitoring Diabetes,bahasa_indonesia,"2021-06-22 11:14:59","2021-06-22 11:14:59",CC Token,CC Token
75,754,75,meta_title,Daftar Informasi obat dan vitamin - Halodoc - Kategori Alat Diabetes,bahasa_indonesia,"2021-06-22 11:14:59","2021-06-22 11:14:59",CC Token,CC Token
75,751,75,name,Alat Monitoring Diabetes,bahasa_indonesia,"2021-06-22 11:14:59","2021-06-22 11:14:59",CC Token,CC Token
75,750,75,name,Diabetes Monitoring Device,english,"2021-06-22 11:14:59","2021-06-22 11:14:59",CC Token,CC Token
