"name","id","icd_code","package_id","status","display_order","created_at","updated_at","created_by","updated_by"
Complete Blood Count,373,N93.9,208,active,1,"2024-09-11 14:33:12","2024-09-16 14:05:53",Dev Token,Dev Token
Estradiol,374,N93.9,188,active,2,"2024-09-11 14:33:13","2024-09-16 14:05:54",Dev Token,Dev Token
Estradiol,374,N93.9,188,active,2,"2024-09-11 14:33:13","2024-09-16 14:05:54",Dev Token,Dev Token
Progesteron,375,N93.9,78,active,3,"2024-09-11 14:33:14","2024-09-16 14:05:55",Dev Token,Dev Token
Progesterone,375,N93.9,78,active,3,"2024-09-11 14:33:14","2024-09-16 14:05:55",Dev Token,Dev Token
Vitamin D,376,N93.9,24,active,4,"2024-09-11 14:33:15","2024-09-16 14:05:56",Dev Token,Dev Token
Vitamin D,376,N93.9,24,active,4,"2024-09-11 14:33:15","2024-09-16 14:05:56",Dev Token,Dev Token
Beta-hCG (Serum),377,N93.9,195,active,5,"2024-09-11 14:33:16","2024-09-16 14:05:57",Dev Token,Dev Token
Beta-hCG (Serum),377,N93.9,195,active,5,"2024-09-11 14:33:16","2024-09-16 14:05:57",Dev Token,Dev Token
Hematologi Rutin,378,O20.0,208,active,5,"2024-09-11 14:33:17","2024-10-03 17:40:02",Dev Token,Dev Token
Complete Blood Count,378,O20.0,208,active,5,"2024-09-11 14:33:17","2024-10-03 17:40:02",Dev Token,Dev Token
Urine Rutin,379,O20.0,158,active,2,"2024-09-11 14:33:18","2024-09-16 14:05:59",Dev Token,Dev Token
Urinalysis Complete Panel,379,O20.0,158,active,2,"2024-09-11 14:33:18","2024-09-16 14:05:59",Dev Token,Dev Token
Vitamin D,380,O20.0,24,active,3,"2024-09-11 14:33:19","2024-09-16 14:06:01",Dev Token,Dev Token
Vitamin D,380,O20.0,24,active,3,"2024-09-11 14:33:19","2024-09-16 14:06:01",Dev Token,Dev Token
Beta-hCG (Serum),381,O20.0,195,active,4,"2024-09-11 14:33:20","2024-09-16 14:06:02",Dev Token,Dev Token
Beta-hCG (Serum),381,O20.0,195,active,4,"2024-09-11 14:33:20","2024-09-16 14:06:02",Dev Token,Dev Token
Hematologi Rutin dengan Retikulosit,382,O20.0,126,inactive,5,"2024-09-11 14:33:21","2024-10-03 17:48:01",Dev Token,Dev Token
Complete Blood Count with Reticulocytes,382,O20.0,126,inactive,5,"2024-09-11 14:33:21","2024-10-03 17:48:01",Dev Token,Dev Token
Hematologi Rutin,383,R05,208,active,4,"2024-09-11 14:33:23","2024-10-03 17:40:03",Dev Token,Dev Token
Complete Blood Count,383,R05,208,active,4,"2024-09-11 14:33:23","2024-10-03 17:40:03",Dev Token,Dev Token
Allergy IgE Atopy Panel Indonesia,384,R05,7,active,2,"2024-09-11 14:33:24","2024-09-16 14:06:05",Dev Token,Dev Token
Allergy IgE Atopy Panel Indonesia,384,R05,7,active,2,"2024-09-11 14:33:24","2024-09-16 14:06:05",Dev Token,Dev Token
C-Reactive Protein (CRP),385,R05,124,active,3,"2024-09-11 14:33:25","2024-09-16 14:06:06",Dev Token,Dev Token
C-Reactive Protein (CRP),385,R05,124,active,3,"2024-09-11 14:33:25","2024-09-16 14:06:06",Dev Token,Dev Token
Hematologi Rutin dengan Retikulosit,386,R05,126,inactive,4,"2024-09-11 14:33:26","2024-10-03 17:48:02",Dev Token,Dev Token
Complete Blood Count with Reticulocytes,386,R05,126,inactive,4,"2024-09-11 14:33:26","2024-10-03 17:48:02",Dev Token,Dev Token
Cek Demam Lengkap,387,R05,296,inactive,5,"2024-09-11 14:33:27","2024-10-03 17:48:28",Dev Token,Dev Token
Complete Fever Check,387,R05,296,inactive,5,"2024-09-11 14:33:27","2024-10-03 17:48:28",Dev Token,Dev Token
Hematologi Rutin,388,R10.4,208,active,5,"2024-09-11 14:33:28","2024-10-03 17:40:04",Dev Token,Dev Token
Complete Blood Count,388,R10.4,208,active,5,"2024-09-11 14:33:28","2024-10-03 17:40:04",Dev Token,Dev Token
Urine Rutin,389,R10.4,158,active,2,"2024-09-11 14:33:29","2024-09-16 14:06:10",Dev Token,Dev Token
Urinalysis Complete Panel,389,R10.4,158,active,2,"2024-09-11 14:33:29","2024-09-16 14:06:10",Dev Token,Dev Token
Laju Endap Darah (LED),390,R10.4,127,active,3,"2024-09-11 14:33:30","2024-09-16 14:06:11",Dev Token,Dev Token
Erythrocyte Sedimentation Rate (ESR),390,R10.4,127,active,3,"2024-09-11 14:33:30","2024-09-16 14:06:11",Dev Token,Dev Token
Pemeriksaan Feses Rutin,391,R10.4,200,active,4,"2024-09-11 14:33:31","2024-09-16 14:06:12",Dev Token,Dev Token
Stool Microscopic Examination,391,R10.4,200,active,4,"2024-09-11 14:33:31","2024-09-16 14:06:12",Dev Token,Dev Token
Hematologi Rutin dengan Retikulosit,392,R10.4,126,inactive,5,"2024-09-11 14:33:32","2024-10-03 17:48:03",Dev Token,Dev Token
Complete Blood Count with Reticulocytes,392,R10.4,126,inactive,5,"2024-09-11 14:33:32","2024-10-03 17:48:03",Dev Token,Dev Token
Hematologi Rutin,393,R11,208,active,2,"2024-09-11 14:33:33","2024-10-03 17:40:05",Dev Token,Dev Token
Complete Blood Count,393,R11,208,active,2,"2024-09-11 14:33:33","2024-10-03 17:40:05",Dev Token,Dev Token
Hematologi Rutin dengan Retikulosit,394,R11,126,inactive,2,"2024-09-11 14:33:34","2024-10-03 17:48:05",Dev Token,Dev Token
Complete Blood Count with Reticulocytes,394,R11,126,inactive,2,"2024-09-11 14:33:34","2024-10-03 17:48:05",Dev Token,Dev Token
Laju Endap Darah (LED),395,R11,127,active,3,"2024-09-11 14:33:35","2024-09-16 14:06:16",Dev Token,Dev Token
Erythrocyte Sedimentation Rate (ESR),395,R11,127,active,3,"2024-09-11 14:33:35","2024-09-16 14:06:16",Dev Token,Dev Token
Cek Elektrolit,396,R11,244,active,4,"2024-09-11 14:33:36","2024-09-16 14:06:17",Dev Token,Dev Token
Electrolyte Test,396,R11,244,active,4,"2024-09-11 14:33:36","2024-09-16 14:06:17",Dev Token,Dev Token
Helicobacter pylori Stool Antigen (HPSA),397,R11,102,active,5,"2024-09-11 14:33:37","2024-09-16 14:06:18",Dev Token,Dev Token
Helicobacter pylori Stool Antigen (HPSA),397,R11,102,active,5,"2024-09-11 14:33:37","2024-09-16 14:06:18",Dev Token,Dev Token
Hematologi Rutin,398,R50,208,active,1,"2024-09-11 14:33:38","2024-09-16 14:06:19",Dev Token,Dev Token
Complete Blood Count,398,R50,208,active,1,"2024-09-11 14:33:38","2024-09-16 14:06:19",Dev Token,Dev Token
Cek Demam Lengkap,399,R50,296,inactive,2,"2024-09-11 14:33:39","2024-10-03 17:48:29",Dev Token,Dev Token
Complete Fever Check,399,R50,296,inactive,2,"2024-09-11 14:33:39","2024-10-03 17:48:29",Dev Token,Dev Token
Cek Demam Berdarah,400,R50,249,inactive,3,"2024-09-11 14:33:40","2024-10-03 17:48:56",Dev Token,Dev Token
Dengue Fever Check,400,R50,249,inactive,3,"2024-09-11 14:33:40","2024-10-03 17:48:56",Dev Token,Dev Token
Urine Rutin,401,R50,158,active,4,"2024-09-11 14:33:41","2024-09-16 14:06:23",Dev Token,Dev Token
Urinalysis Complete Panel,401,R50,158,active,4,"2024-09-11 14:33:41","2024-09-16 14:06:23",Dev Token,Dev Token
Widal,402,R50,117,active,5,"2024-09-11 14:33:42","2024-09-16 14:06:24",Dev Token,Dev Token
Widal,402,R50,117,active,5,"2024-09-11 14:33:42","2024-09-16 14:06:24",Dev Token,Dev Token
Hematologi Rutin,403,R50.0,208,active,3,"2024-09-11 14:33:43","2024-10-03 17:40:06",Dev Token,Dev Token
Complete Blood Count,403,R50.0,208,active,3,"2024-09-11 14:33:43","2024-10-03 17:40:06",Dev Token,Dev Token
Cek Demam Lengkap,404,R50.0,296,inactive,2,"2024-09-11 14:33:44","2024-10-03 17:48:30",Dev Token,Dev Token
Complete Fever Check,404,R50.0,296,inactive,2,"2024-09-11 14:33:44","2024-10-03 17:48:30",Dev Token,Dev Token
Hematologi Rutin dengan Retikulosit,405,R50.0,126,inactive,3,"2024-09-11 14:33:45","2024-10-03 17:48:06",Dev Token,Dev Token
Complete Blood Count with Reticulocytes,405,R50.0,126,inactive,3,"2024-09-11 14:33:45","2024-10-03 17:48:06",Dev Token,Dev Token
Anti-Salmonella IgM,406,R50.0,173,active,4,"2024-09-11 14:33:46","2024-09-16 14:06:28",Dev Token,Dev Token
Anti-Salmonella IgM,406,R50.0,173,active,4,"2024-09-11 14:33:46","2024-09-16 14:06:28",Dev Token,Dev Token
Anti-Dengue IgG dan IgM (Rapid),407,R50.0,137,active,5,"2024-09-11 14:33:47","2024-09-16 14:06:29",Dev Token,Dev Token
Anti-Dengue IgG and IgM (Rapid),407,R50.0,137,active,5,"2024-09-11 14:33:47","2024-09-16 14:06:29",Dev Token,Dev Token
Hematologi Rutin,408,R50.9,208,active,1,"2024-09-11 14:33:48","2024-09-16 14:06:30",Dev Token,Dev Token
Complete Blood Count,408,R50.9,208,active,1,"2024-09-11 14:33:48","2024-09-16 14:06:30",Dev Token,Dev Token
Cek Demam Lengkap,409,R50.9,296,inactive,2,"2024-09-11 14:33:49","2024-10-03 17:48:31",Dev Token,Dev Token
Complete Fever Check,409,R50.9,296,inactive,2,"2024-09-11 14:33:49","2024-10-03 17:48:31",Dev Token,Dev Token
Anti-Dengue IgG dan IgM (Rapid),410,R50.9,137,active,3,"2024-09-11 14:33:50","2024-09-16 14:06:32",Dev Token,Dev Token
Anti-Dengue IgG and IgM (Rapid),410,R50.9,137,active,3,"2024-09-11 14:33:50","2024-09-16 14:06:32",Dev Token,Dev Token
Antigen Dengue NS1 (Rapid),411,R50.9,120,active,4,"2024-09-11 14:33:51","2024-09-16 14:06:33",Dev Token,Dev Token
Antigen Dengue NS1 (Rapid),411,R50.9,120,active,4,"2024-09-11 14:33:51","2024-09-16 14:06:33",Dev Token,Dev Token
Cek Demam Berdarah,412,R50.9,249,inactive,5,"2024-09-11 14:33:52","2024-10-03 17:48:57",Dev Token,Dev Token
Dengue Fever Check,412,R50.9,249,inactive,5,"2024-09-11 14:33:52","2024-10-03 17:48:57",Dev Token,Dev Token
Hematologi Rutin,413,R51,208,active,2,"2024-09-11 14:33:54","2024-10-03 17:40:07",Dev Token,Dev Token
Complete Blood Count,413,R51,208,active,2,"2024-09-11 14:33:54","2024-10-03 17:40:07",Dev Token,Dev Token
Hematologi Rutin dengan Retikulosit,414,R51,126,inactive,2,"2024-09-11 14:33:55","2024-10-03 17:48:07",Dev Token,Dev Token
Complete Blood Count with Reticulocytes,414,R51,126,inactive,2,"2024-09-11 14:33:55","2024-10-03 17:48:07",Dev Token,Dev Token
Medical Check Up Hemat,415,R51,32,active,3,"2024-09-11 14:33:56","2024-09-16 14:06:37",Dev Token,Dev Token
Pocket-friendly Medical Check Up,415,R51,32,active,3,"2024-09-11 14:33:56","2024-09-16 14:06:37",Dev Token,Dev Token
Cek Kolesterol,416,R51,43,active,4,"2024-09-11 14:33:57","2024-09-16 14:06:38",Dev Token,Dev Token
Cholesterol Test,416,R51,43,active,4,"2024-09-11 14:33:57","2024-09-16 14:06:38",Dev Token,Dev Token
Kolesterol Total,417,R51,55,active,5,"2024-09-11 14:33:58","2024-09-16 14:06:39",Dev Token,Dev Token
Total Cholesterol,417,R51,55,active,5,"2024-09-11 14:33:58","2024-09-16 14:06:39",Dev Token,Dev Token
Hematologi Rutin,418,R52.9,208,active,3,"2024-09-11 14:33:59","2024-10-03 17:40:08",Dev Token,Dev Token
Complete Blood Count,418,R52.9,208,active,3,"2024-09-11 14:33:59","2024-10-03 17:40:08",Dev Token,Dev Token
Urine Rutin,419,R52.9,158,active,2,"2024-09-11 14:34:00","2024-09-16 14:06:41",Dev Token,Dev Token
Urinalysis Complete Panel,419,R52.9,158,active,2,"2024-09-11 14:34:00","2024-09-16 14:06:41",Dev Token,Dev Token
Hematologi Rutin dengan Retikulosit,420,R52.9,126,inactive,3,"2024-09-11 14:34:01","2024-10-03 17:48:08",Dev Token,Dev Token
Complete Blood Count with Reticulocytes,420,R52.9,126,inactive,3,"2024-09-11 14:34:01","2024-10-03 17:48:08",Dev Token,Dev Token
Injeksi Vitamin C,421,R52.9,320,active,4,"2024-09-11 14:34:02","2024-09-16 14:06:44",Dev Token,Dev Token
Vitamin C Injection,421,R52.9,320,active,4,"2024-09-11 14:34:02","2024-09-16 14:06:44",Dev Token,Dev Token
Halodoc Medical Check-Up Complete,422,R52.9,18,inactive,5,"2024-09-11 14:34:03","2024-10-03 17:48:14",Dev Token,Dev Token
Halodoc Complete Medical Check-Up,422,R52.9,18,inactive,5,"2024-09-11 14:34:03","2024-10-03 17:48:14",Dev Token,Dev Token
Hematologi Rutin,423,T78.4,208,active,1,"2024-09-11 14:34:04","2024-09-16 14:06:46",Dev Token,Dev Token
Complete Blood Count,423,T78.4,208,active,1,"2024-09-11 14:34:04","2024-09-16 14:06:46",Dev Token,Dev Token
Allergy IgE Atopy Panel Indonesia,424,T78.4,7,active,2,"2024-09-11 14:34:05","2024-09-16 14:06:47",Dev Token,Dev Token
Allergy IgE Atopy Panel Indonesia,424,T78.4,7,active,2,"2024-09-11 14:34:05","2024-09-16 14:06:47",Dev Token,Dev Token
Panel Alergi,425,T78.4,283,inactive,3,"2024-09-11 14:34:06","2024-10-03 17:48:49",Dev Token,Dev Token
Allergy Panel,425,T78.4,283,inactive,3,"2024-09-11 14:34:06","2024-10-03 17:48:49",Dev Token,Dev Token
IgE Total,426,T78.4,115,active,4,"2024-09-11 14:34:07","2024-09-16 14:06:49",Dev Token,Dev Token
Total IgE,426,T78.4,115,active,4,"2024-09-11 14:34:07","2024-09-16 14:06:49",Dev Token,Dev Token
Eosinofil,427,T78.4,121,active,5,"2024-09-11 14:34:08","2024-09-16 14:06:50",Dev Token,Dev Token
Eosinophil Count,427,T78.4,121,active,5,"2024-09-11 14:34:08","2024-09-16 14:06:50",Dev Token,Dev Token
Hematologi Rutin,428,W57,208,active,1,"2024-09-11 14:34:09","2024-09-16 14:06:51",Dev Token,Dev Token
Complete Blood Count,428,W57,208,active,1,"2024-09-11 14:34:09","2024-09-16 14:06:51",Dev Token,Dev Token
Allergy IgE Atopy Panel Indonesia,429,W57,7,active,2,"2024-09-11 14:34:10","2024-09-16 14:06:52",Dev Token,Dev Token
Allergy IgE Atopy Panel Indonesia,429,W57,7,active,2,"2024-09-11 14:34:10","2024-09-16 14:06:52",Dev Token,Dev Token
Panel Alergi,430,W57,283,inactive,3,"2024-09-11 14:34:11","2024-10-03 17:48:50",Dev Token,Dev Token
Allergy Panel,430,W57,283,inactive,3,"2024-09-11 14:34:11","2024-10-03 17:48:50",Dev Token,Dev Token
IgE Total,431,W57,115,active,4,"2024-09-11 14:34:12","2024-09-16 14:06:54",Dev Token,Dev Token
Total IgE,431,W57,115,active,4,"2024-09-11 14:34:12","2024-09-16 14:06:54",Dev Token,Dev Token
Injeksi Vitamin C,432,W57,320,active,5,"2024-09-11 14:34:13","2024-09-16 14:06:55",Dev Token,Dev Token
Vitamin C Injection,432,W57,320,active,5,"2024-09-11 14:34:13","2024-09-16 14:06:55",Dev Token,Dev Token
Hematologi Rutin,433,Z00,208,active,1,"2024-09-11 14:34:14","2024-09-16 14:06:56",Dev Token,Dev Token
Complete Blood Count,433,Z00,208,active,1,"2024-09-11 14:34:14","2024-09-16 14:06:56",Dev Token,Dev Token
Medical Check Up Hemat,434,Z00,32,active,2,"2024-09-11 14:34:15","2024-09-16 14:06:57",Dev Token,Dev Token
Pocket-friendly Medical Check Up,434,Z00,32,active,2,"2024-09-11 14:34:15","2024-09-16 14:06:57",Dev Token,Dev Token
Urine Rutin,435,Z00,158,active,3,"2024-09-11 14:34:16","2024-09-16 14:06:58",Dev Token,Dev Token
Urinalysis Complete Panel,435,Z00,158,active,3,"2024-09-11 14:34:16","2024-09-16 14:06:58",Dev Token,Dev Token
Cek Infeksi Menular Seksual,436,Z00,17,active,4,"2024-09-11 14:34:17","2024-09-16 14:06:59",Dev Token,Dev Token
Sexual Transmitted Infection Test,436,Z00,17,active,4,"2024-09-11 14:34:17","2024-09-16 14:06:59",Dev Token,Dev Token
Medical Check Up Standar,437,Z00,53,active,5,"2024-09-11 14:34:18","2024-09-16 14:07:01",Dev Token,Dev Token
Standard Medical Check Up,437,Z00,53,active,5,"2024-09-11 14:34:18","2024-09-16 14:07:01",Dev Token,Dev Token
Hematologi Rutin,438,Z00.1,208,active,3,"2024-09-11 14:34:19","2024-10-03 17:40:09",Dev Token,Dev Token
Complete Blood Count,438,Z00.1,208,active,3,"2024-09-11 14:34:19","2024-10-03 17:40:09",Dev Token,Dev Token
Pemeriksaan Feses Rutin,439,Z00.1,200,active,2,"2024-09-11 14:34:20","2024-09-16 14:07:03",Dev Token,Dev Token
Stool Microscopic Examination,439,Z00.1,200,active,2,"2024-09-11 14:34:20","2024-09-16 14:07:03",Dev Token,Dev Token
Hematologi Rutin dengan Retikulosit,440,Z00.1,126,inactive,3,"2024-09-11 14:34:21","2024-10-03 17:48:09",Dev Token,Dev Token
Complete Blood Count with Reticulocytes,440,Z00.1,126,inactive,3,"2024-09-11 14:34:21","2024-10-03 17:48:09",Dev Token,Dev Token
Urine Rutin,441,Z00.1,158,active,4,"2024-09-11 14:34:22","2024-09-16 14:07:05",Dev Token,Dev Token
Urinalysis Complete Panel,441,Z00.1,158,active,4,"2024-09-11 14:34:22","2024-09-16 14:07:05",Dev Token,Dev Token
Cek Anemia Kurang Besi,442,Z00.1,22,inactive,5,"2024-09-11 14:34:23","2024-10-03 17:48:59",Dev Token,Dev Token
Fe Deficiency Anemia Check,442,Z00.1,22,inactive,5,"2024-09-11 14:34:23","2024-10-03 17:48:59",Dev Token,Dev Token
Beta-hCG (Serum),443,Z30,195,active,1,"2024-09-11 14:34:24","2024-09-16 14:07:07",Dev Token,Dev Token
Beta-hCG (Serum),443,Z30,195,active,1,"2024-09-11 14:34:24","2024-09-16 14:07:07",Dev Token,Dev Token
Hematologi Rutin,444,Z30,208,active,2,"2024-09-11 14:34:25","2024-09-16 14:07:08",Dev Token,Dev Token
Complete Blood Count,444,Z30,208,active,2,"2024-09-11 14:34:25","2024-09-16 14:07:08",Dev Token,Dev Token
Injeksi Vitamin C,445,Z30,320,active,3,"2024-09-11 14:34:26","2024-09-16 14:07:09",Dev Token,Dev Token
Vitamin C Injection,445,Z30,320,active,3,"2024-09-11 14:34:26","2024-09-16 14:07:09",Dev Token,Dev Token
Vitamin B12,446,Z30,240,active,4,"2024-09-11 14:34:27","2024-09-16 14:07:10",Dev Token,Dev Token
Vitamin B12,446,Z30,240,active,4,"2024-09-11 14:34:27","2024-09-16 14:07:10",Dev Token,Dev Token
Vitamin D,447,Z30,24,active,5,"2024-09-11 14:34:29","2024-09-16 14:07:11",Dev Token,Dev Token
Vitamin D,447,Z30,24,active,5,"2024-09-11 14:34:29","2024-09-16 14:07:11",Dev Token,Dev Token
Hematologi Rutin,448,Z30.0,208,active,1,"2024-09-11 14:34:30","2024-09-16 14:07:12",Dev Token,Dev Token
Complete Blood Count,448,Z30.0,208,active,1,"2024-09-11 14:34:30","2024-09-16 14:07:12",Dev Token,Dev Token
Beta-hCG (Serum),449,Z30.0,195,active,2,"2024-09-11 14:34:31","2024-09-16 14:07:13",Dev Token,Dev Token
Beta-hCG (Serum),449,Z30.0,195,active,2,"2024-09-11 14:34:31","2024-09-16 14:07:13",Dev Token,Dev Token
Urine Rutin,450,Z30.0,158,active,3,"2024-09-11 14:34:32","2024-09-16 14:07:14",Dev Token,Dev Token
Urinalysis Complete Panel,450,Z30.0,158,active,3,"2024-09-11 14:34:32","2024-09-16 14:07:14",Dev Token,Dev Token
Serum Iron,451,Z30.0,87,active,4,"2024-09-11 14:34:33","2024-09-16 14:07:15",Dev Token,Dev Token
Serum Iron,451,Z30.0,87,active,4,"2024-09-11 14:34:33","2024-09-16 14:07:15",Dev Token,Dev Token
Progesteron,452,Z30.0,78,active,5,"2024-09-11 14:34:34","2024-09-16 14:07:16",Dev Token,Dev Token
Progesterone,452,Z30.0,78,active,5,"2024-09-11 14:34:34","2024-09-16 14:07:16",Dev Token,Dev Token
Hematologi Rutin,453,Z34,208,active,1,"2024-09-11 14:34:35","2024-09-16 14:07:18",Dev Token,Dev Token
Complete Blood Count,453,Z34,208,active,1,"2024-09-11 14:34:35","2024-09-16 14:07:18",Dev Token,Dev Token
Urine Rutin,454,Z34,158,active,2,"2024-09-11 14:34:36","2024-09-16 14:07:19",Dev Token,Dev Token
Urinalysis Complete Panel,454,Z34,158,active,2,"2024-09-11 14:34:36","2024-09-16 14:07:19",Dev Token,Dev Token
Beta-hCG (Serum),455,Z34,195,active,3,"2024-09-11 14:34:37","2024-09-16 14:07:20",Dev Token,Dev Token
Beta-hCG (Serum),455,Z34,195,active,3,"2024-09-11 14:34:37","2024-09-16 14:07:20",Dev Token,Dev Token
Anti-Toxoplasma IgG,456,Z34,125,active,4,"2024-09-11 14:34:38","2024-09-16 14:07:21",Dev Token,Dev Token
Anti-Toxoplasma IgG,456,Z34,125,active,4,"2024-09-11 14:34:38","2024-09-16 14:07:21",Dev Token,Dev Token
Anti-Toxoplasma IgM,457,Z34,118,active,5,"2024-09-11 14:34:39","2024-09-16 14:07:22",Dev Token,Dev Token
Anti-Toxoplasma IgM,457,Z34,118,active,5,"2024-09-11 14:34:39","2024-09-16 14:07:22",Dev Token,Dev Token
Hematologi Rutin,458,Z71,208,active,1,"2024-09-11 14:34:40","2024-09-16 14:07:23",Dev Token,Dev Token
Complete Blood Count,458,Z71,208,active,1,"2024-09-11 14:34:40","2024-09-16 14:07:23",Dev Token,Dev Token
Medical Check Up Hemat,459,Z71,32,active,2,"2024-09-11 14:34:41","2024-09-16 14:07:24",Dev Token,Dev Token
Pocket-friendly Medical Check Up,459,Z71,32,active,2,"2024-09-11 14:34:41","2024-09-16 14:07:24",Dev Token,Dev Token
Urine Rutin,460,Z71,158,active,3,"2024-09-11 14:34:42","2024-09-16 14:07:25",Dev Token,Dev Token
Urinalysis Complete Panel,460,Z71,158,active,3,"2024-09-11 14:34:42","2024-09-16 14:07:25",Dev Token,Dev Token
Glukosa Puasa,461,Z71,194,active,4,"2024-09-11 14:34:43","2024-09-16 14:07:26",Dev Token,Dev Token
Fasting Blood Glucose,461,Z71,194,active,4,"2024-09-11 14:34:43","2024-09-16 14:07:26",Dev Token,Dev Token
Kolesterol LDL-Direk,462,Z71,176,active,5,"2024-09-11 14:34:44","2024-09-16 14:07:27",Dev Token,Dev Token
Direct LDL Cholesterol,462,Z71,176,active,5,"2024-09-11 14:34:44","2024-09-16 14:07:27",Dev Token,Dev Token
Medical Check Up Standar,463,Z71.9,53,active,1,"2024-09-11 14:34:45","2024-09-16 14:07:28",Dev Token,Dev Token
Standard Medical Check Up,463,Z71.9,53,active,1,"2024-09-11 14:34:45","2024-09-16 14:07:28",Dev Token,Dev Token
Urine Rutin,464,Z71.9,158,active,2,"2024-09-11 14:34:46","2024-09-16 14:07:29",Dev Token,Dev Token
Urinalysis Complete Panel,464,Z71.9,158,active,2,"2024-09-11 14:34:46","2024-09-16 14:07:29",Dev Token,Dev Token
Hematologi Lengkap,465,Z71.9,28,inactive,3,"2024-09-11 14:34:47","2024-10-03 17:48:53",Dev Token,Dev Token
Complete Hematology,465,Z71.9,28,inactive,3,"2024-09-11 14:34:47","2024-10-03 17:48:53",Dev Token,Dev Token
Glukosa Sewaktu,466,Z71.9,170,active,4,"2024-09-11 14:34:48","2024-09-16 14:07:31",Dev Token,Dev Token
Random Blood Glucose,466,Z71.9,170,active,4,"2024-09-11 14:34:48","2024-09-16 14:07:31",Dev Token,Dev Token
Hematologi Rutin,467,Z71.9,208,active,5,"2024-09-11 14:34:49","2024-09-16 14:07:32",Dev Token,Dev Token
Complete Blood Count,467,Z71.9,208,active,5,"2024-09-11 14:34:49","2024-09-16 14:07:32",Dev Token,Dev Token
Hematologi Rutin,468,Z76,208,active,4,"2024-09-11 14:34:50","2024-10-03 17:40:11",Dev Token,Dev Token
Complete Blood Count,468,Z76,208,active,4,"2024-09-11 14:34:50","2024-10-03 17:40:11",Dev Token,Dev Token
Serum Iron,469,Z76,87,active,2,"2024-09-11 14:34:51","2024-09-16 14:07:34",Dev Token,Dev Token
Serum Iron,469,Z76,87,active,2,"2024-09-11 14:34:51","2024-09-16 14:07:34",Dev Token,Dev Token
Urine Rutin,470,Z76,158,active,3,"2024-09-11 14:34:52","2024-09-16 14:07:35",Dev Token,Dev Token
Urinalysis Complete Panel,470,Z76,158,active,3,"2024-09-11 14:34:52","2024-09-16 14:07:35",Dev Token,Dev Token
Hematologi Rutin dengan Retikulosit,471,Z76,126,inactive,4,"2024-09-11 14:34:53","2024-10-03 17:48:10",Dev Token,Dev Token
Complete Blood Count with Reticulocytes,471,Z76,126,inactive,4,"2024-09-11 14:34:53","2024-10-03 17:48:10",Dev Token,Dev Token
Laju Endap Darah (LED),472,Z76,127,active,5,"2024-09-11 14:34:54","2024-09-16 14:07:38",Dev Token,Dev Token
Erythrocyte Sedimentation Rate (ESR),472,Z76,127,active,5,"2024-09-11 14:34:54","2024-09-16 14:07:38",Dev Token,Dev Token
Hematologi Lengkap,473,B34.9,28,inactive,1,"2024-09-11 14:34:55","2024-10-03 17:48:54",Dev Token,Dev Token
Complete Hematology,473,B34.9,28,inactive,1,"2024-09-11 14:34:55","2024-10-03 17:48:54",Dev Token,Dev Token
Cek Demam Lengkap,474,B34.9,296,inactive,2,"2024-09-11 14:34:56","2024-10-03 17:48:32",Dev Token,Dev Token
Complete Fever Check,474,B34.9,296,inactive,2,"2024-09-11 14:34:56","2024-10-03 17:48:32",Dev Token,Dev Token
Cek Demam Berdarah,475,B34.9,249,inactive,3,"2024-09-11 14:34:57","2024-10-03 17:48:58",Dev Token,Dev Token
Dengue Fever Check,475,B34.9,249,inactive,3,"2024-09-11 14:34:57","2024-10-03 17:48:58",Dev Token,Dev Token
Anti-SARS-CoV-2 IgG S-RBD,476,B34.9,131,active,4,"2024-09-11 14:34:59","2024-09-16 14:07:42",Dev Token,Dev Token
Anti-SARS-CoV-2 IgG S-RBD,476,B34.9,131,active,4,"2024-09-11 14:34:59","2024-09-16 14:07:42",Dev Token,Dev Token
HBsAg (Rapid),477,B34.9,162,active,5,"2024-09-11 14:35:00","2024-09-16 14:07:43",Dev Token,Dev Token
HBsAg (Rapid),477,B34.9,162,active,5,"2024-09-11 14:35:00","2024-09-16 14:07:43",Dev Token,Dev Token
Hematologi Lengkap,478,B34.2,28,inactive,1,"2024-09-11 14:35:01","2024-10-03 17:48:55",Dev Token,Dev Token
Complete Hematology,478,B34.2,28,inactive,1,"2024-09-11 14:35:01","2024-10-03 17:48:55",Dev Token,Dev Token
Swab Test Antigen,479,B34.2,33,active,2,"2024-09-11 14:35:02","2024-09-16 14:07:45",Dev Token,Dev Token
Swab Antigen COVID-19,479,B34.2,33,active,2,"2024-09-11 14:35:02","2024-09-16 14:07:45",Dev Token,Dev Token
PCR Swab COVID-19 (Hasil H+1),480,B34.2,47,active,3,"2024-09-11 14:35:03","2024-09-16 14:07:46",Dev Token,Dev Token
Swab PCR COVID-19 (Result in D+1),480,B34.2,47,active,3,"2024-09-11 14:35:03","2024-09-16 14:07:46",Dev Token,Dev Token
C-Reactive Protein (CRP),481,B34.2,124,active,4,"2024-09-11 14:35:04","2024-09-16 14:07:47",Dev Token,Dev Token
C-Reactive Protein (CRP),481,B34.2,124,active,4,"2024-09-11 14:35:04","2024-09-16 14:07:47",Dev Token,Dev Token
Anti-SARS-CoV-2 IgG S-RBD,482,B34.2,131,active,5,"2024-09-11 14:35:05","2024-09-16 14:07:48",Dev Token,Dev Token
