"id","lab_site_id","line_item_id","gender","max_age","unit","ref_value_type","ref_value","ref_value_description","test_comment","deleted","created_at","updated_at","created_by","updated_by","ingestion_id"
37,14,119,all,999,"10³/μL",range,"150,440","150 - 440","",0,"2024-09-21 17:01:47","2024-09-21 17:01:47",Dev Token,Dev Token,265159
38,14,107,male,999,"10³/μL",range,"3.8,10.6","3.8 - 10.6","",0,"2024-09-21 17:01:48","2024-09-21 17:01:48",Dev Token,Dev Token,265159
39,14,107,female,999,"10³/μL",range,"3.6,11.0","3.6 - 11.0","",0,"2024-09-21 17:01:49","2024-09-21 17:01:49",Dev Token,Dev Token,265159
40,14,156,male,999,U/L,range,"0,40",< 40,"",0,"2024-09-21 17:01:50","2024-09-21 17:01:50",Dev Token,Dev Token,265159
41,14,156,female,999,U/L,range,"0,32",< 32,"",0,"2024-09-21 17:01:51","2024-09-21 17:01:51",Dev Token,Dev Token,265159
42,14,157,male,999,U/L,range,"0,41",< 41,"",0,"2024-09-21 17:01:52","2024-09-21 17:01:52",Dev Token,Dev Token,265159
43,14,157,female,999,U/L,range,"0,33",< 33,"",0,"2024-09-21 17:01:54","2024-09-21 17:01:54",Dev Token,Dev Token,265159
44,14,163,male,999,mg/dL,range,"0,150",< 150,"",0,"2024-09-21 17:01:55","2024-09-21 17:01:55",Dev Token,Dev Token,265159
45,14,163,female,999,mg/dL,range,"0,160",< 160,"",0,"2024-09-21 17:01:56","2024-09-21 17:01:56",Dev Token,Dev Token,265159
46,14,153,all,999,mg/dL,range,"0,200",< 200,"<200         : Desirable
200 - 239 : Borderline High
>=240       : High",0,"2024-09-21 17:01:57","2024-09-21 17:01:57",Dev Token,Dev Token,265159
47,14,151,all,999,mg/dL,range,"60,999",>= 60,"<40   : Low (at risk)
>=60 : Desirable",0,"2024-09-21 17:01:58","2024-09-21 17:01:58",Dev Token,Dev Token,265159
48,14,152,all,999,mg/dL,range,"0,100",< 100,"<100         : Optimal
100 - 129 : Near Optimal
130 - 159 : Borderline High
160 - 189 : High
>=190       : Very High",0,"2024-09-21 17:01:59","2024-09-21 17:01:59",Dev Token,Dev Token,265159
49,14,161,male,999,mg/dL,range,"3.4,7.0","3.4 - 7.0","",0,"2024-09-21 17:02:00","2024-09-21 17:02:00",Dev Token,Dev Token,265159
50,14,161,female,999,mg/dL,range,"2.4,5.7","2.4 - 5.7","",0,"2024-09-21 17:02:01","2024-09-21 17:02:01",Dev Token,Dev Token,265159
51,14,164,all,999,mg/dL,range,"12.6,42.6","12.6 - 42.6","",0,"2024-09-21 17:02:02","2024-09-21 17:02:02",Dev Token,Dev Token,265159
