"id","demand_zone_id","attribute_key","attribute_value","display","created_at","created_by","updated_at","updated_by"
133,5,timezone,Asia/Jakarta,1,"2024-06-19 21:06:20",faoul.djoyo,"2024-06-19 21:06:20",faoul.djoyo
134,10,timezone,Asia/Jakarta,1,"2024-06-19 21:06:51",faoul.djoyo,"2024-06-19 21:06:51",faoul.djoyo
135,10,timezone,Asia/Jakarta,1,"2024-06-19 21:06:51",faoul.djoyo,"2024-06-19 21:06:51",faoul.djoyo
136,13,timezone,Asia/Jakarta,1,"2024-06-19 21:07:34",faoul.djoyo,"2024-06-19 21:07:34",faoul.djoyo
137,13,timezone,Asia/Jakarta,1,"2024-06-19 21:07:35",faoul.djoyo,"2024-06-19 21:07:35",faoul.djoyo
138,3,timezone,Asia/Jakarta,1,"2024-06-20 18:27:32",dwi.rahmawati,"2024-06-20 18:27:32",dwi.rahmawati
139,3,timezone,Asia/Jakarta,1,"2024-06-20 18:27:33",dwi.rahmawati,"2024-06-20 18:27:33",dwi.rahmawati
140,9,timezone,Asia/Jakarta,1,"2024-06-23 22:23:58",faoul.djoyo,"2024-06-23 22:23:58",faoul.djoyo
141,9,timezone,Asia/Jakarta,1,"2024-06-23 22:23:59",faoul.djoyo,"2024-06-23 22:23:59",faoul.djoyo
142,6,timezone,Asia/Jakarta,1,"2024-06-23 22:24:28",faoul.djoyo,"2024-06-23 22:24:28",faoul.djoyo
143,6,timezone,Asia/Jakarta,1,"2024-06-23 22:24:28",faoul.djoyo,"2024-06-23 22:24:28",faoul.djoyo
144,7,timezone,Asia/Jakarta,1,"2024-06-23 22:25:13",faoul.djoyo,"2024-06-23 22:25:13",faoul.djoyo
145,7,timezone,Asia/Jakarta,1,"2024-06-23 22:25:13",faoul.djoyo,"2024-06-23 22:25:13",faoul.djoyo
146,17,timezone,Asia/Jakarta,1,"2024-06-29 08:03:24",jocelyn.tandrian,"2024-10-18 07:37:51",wiwin.dwiutami.hakim
147,17,timezone,Asia/Makassar,1,"2024-06-29 08:03:25",jocelyn.tandrian,"2024-06-29 08:03:25",jocelyn.tandrian
148,4,timezone,Asia/Jakarta,1,"2024-06-29 17:06:03",wiwin.dwiutami.hakim,"2024-06-29 17:06:03",wiwin.dwiutami.hakim
149,4,timezone,Asia/Jakarta,1,"2024-06-29 17:06:04",wiwin.dwiutami.hakim,"2024-06-29 17:06:04",wiwin.dwiutami.hakim
150,12,timezone,Asia/Jakarta,1,"2024-07-03 20:18:35",jocelyn.tandrian,"2024-07-03 20:18:35",jocelyn.tandrian
151,12,timezone,Asia/Jakarta,1,"2024-07-03 20:18:36",jocelyn.tandrian,"2024-07-03 20:18:36",jocelyn.tandrian
152,20,time_span_allowed_for_cancellation,"24",,"2024-07-05 09:41:46",wiwin.dwiutami.hakim,"2024-07-05 09:41:47",wiwin.dwiutami.hakim
153,20,time_span_allowed_for_reschedule,"24",,"2024-07-05 09:41:46",wiwin.dwiutami.hakim,"2024-07-05 09:41:47",wiwin.dwiutami.hakim
154,20,transportation_fee_condition,false,,"2024-07-05 09:41:46",wiwin.dwiutami.hakim,"2024-07-05 09:41:47",wiwin.dwiutami.hakim
155,20,time_span_allowed_for_cancellation_unit,HOURS,,"2024-07-05 09:41:46",wiwin.dwiutami.hakim,"2024-07-05 09:41:47",wiwin.dwiutami.hakim
156,20,transportation_fee,"0",,"2024-07-05 09:41:46",wiwin.dwiutami.hakim,"2024-07-05 09:41:47",wiwin.dwiutami.hakim
157,20,time_span_allowed_for_reschedule_unit,HOURS,,"2024-07-05 09:41:46",wiwin.dwiutami.hakim,"2024-07-05 09:41:47",wiwin.dwiutami.hakim
158,20,min_cart_price,"0",,"2024-07-05 09:41:47",wiwin.dwiutami.hakim,"2024-07-05 09:41:47",wiwin.dwiutami.hakim
159,20,timezone,Asia/Jakarta,1,"2024-07-05 09:41:47",wiwin.dwiutami.hakim,"2024-07-05 09:41:47",wiwin.dwiutami.hakim
160,15,timezone,Asia/Jakarta,1,"2024-07-05 15:14:12",wiwin.dwiutami.hakim,"2024-07-05 15:14:12",wiwin.dwiutami.hakim
161,15,timezone,Asia/Jakarta,1,"2024-07-05 15:14:12",wiwin.dwiutami.hakim,"2024-07-05 15:14:12",wiwin.dwiutami.hakim
