"id","demand_zone_id","zone_id","status","name","created_at","updated_at","created_by","updated_by"
31,7,3,active,Jakarta West,"2024-03-15 05:34:15","2024-03-15 05:34:15",audhy.prabowo,audhy.prabowo
32,8,4,active,Jakarta East,"2024-03-15 05:35:16","2024-03-15 05:35:16",audhy.prabowo,audhy.prabowo
33,9,25,active,Jakarta North,"2024-03-15 05:36:23","2024-03-15 05:36:23",audhy.prabowo,audhy.prabowo
34,10,5,active,Tangerang North,"2024-03-15 05:40:26","2024-04-25 15:37:33",audhy.prabowo,audhy.prabowo
35,10,6,active,Tangerang South,"2024-03-15 05:40:26","2024-03-15 05:40:26",audhy.prabowo,audhy.prabowo
36,11,11,inactive,Bekasi,"2024-03-15 05:41:13","2024-10-01 14:15:34",audhy.prabowo,wiwin.dwiutami.hakim
37,12,13,inactive,Bogor,"2024-03-15 05:42:06","2024-11-16 14:06:30",audhy.prabowo,dwi.rahmawati
38,13,15,active,Depok,"2024-03-15 05:45:47","2024-03-15 05:45:47",audhy.prabowo,audhy.prabowo
39,11,73,inactive,Bekasi Kabupaten North,"2024-03-19 22:41:17","2024-03-30 17:27:54",audhy.prabowo,audhy.prabowo
40,3,27,inactive,Bandung - Padalarang,"2024-03-20 13:07:11","2024-12-26 09:38:24",audhy.prabowo,wiwin.dwiutami.hakim
41,3,20,inactive,Bandung - Cimahi,"2024-03-20 13:07:11","2024-12-26 09:38:24",audhy.prabowo,wiwin.dwiutami.hakim
42,10,65,inactive,Tangerang Rural,"2024-03-21 11:08:57","2024-04-01 22:49:30",wiwin.dwiutami.hakim,jocelyn.tandrian
43,14,28,inactive,Semarang South East,"2024-03-28 13:42:31","2024-03-28 13:59:42",audhy.prabowo,audhy.prabowo
44,14,29,inactive,Semarang South West,"2024-03-28 13:42:31","2024-03-28 13:59:42",audhy.prabowo,audhy.prabowo
45,14,30,active,Semarang Central,"2024-03-28 13:42:31","2024-03-28 13:42:31",audhy.prabowo,audhy.prabowo
46,14,31,active,Semarang East,"2024-03-28 13:42:31","2024-03-28 13:42:31",audhy.prabowo,audhy.prabowo
47,14,32,active,Semarang North,"2024-03-28 13:42:31","2024-03-28 13:42:31",audhy.prabowo,audhy.prabowo
48,15,73,inactive,Bekasi Kabupaten North,"2024-04-01 14:38:43","2024-09-26 10:01:35",wiwin.dwiutami.hakim,priscarine.priscarine
49,16,65,active,Tangerang Rural,"2024-04-01 14:39:48","2024-10-04 10:22:48",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
50,16,626,inactive,Tangerang Rural,"2024-04-22 19:04:08","2024-07-05 16:10:15",audhy.prabowo,wiwin.dwiutami.hakim
51,10,628,inactive,Tangerang Rural New,"2024-04-22 19:36:07","2024-07-08 09:44:17",audhy.prabowo,wiwin.dwiutami.hakim
52,16,5,inactive,Tangerang North,"2024-04-22 19:36:33","2024-07-05 16:10:15",audhy.prabowo,wiwin.dwiutami.hakim
